текст,условие,длина,второе,отрыв,медиана рёбер,к медиане,отрезает точек,токен A,токен B,класс A,класс B,норма A,норма B,разрыв норм,косинус,одиночка A,одиночка B,есть сток
43,перемешивание,1.1541708207710895,0.9490074879336092,1.2161872645327674,0.6942469279307852,1.6624788304229379,2,"Ġ,",Ġpressure,сток,смысл-част,26.26605,35.114704,8.848654,0.3418501317501068,False,False,True
44,исходный,0.9735952793018107,0.9529082849921332,1.0217093235891512,0.6341399704845729,1.5353002879756117,6,Ġwar,.,смысл-част,сток,34.18559,25.958405,8.227184,0.4469055235385895,True,False,True
44,чужие хапаксы,1.0459054741697984,0.879263239944565,1.1895248506417029,0.6135337133673446,1.7047237199556746,6,Ġto,Ġdie,сток,смысл-редк,26.16643,34.58013,8.413702,0.36755242943763733,False,False,True
44,перемешивание,1.1644842855340767,0.9410031395963535,1.2374924551618247,0.6334994283492961,1.8381773264868813,5,Ġfight,",",смысл-част,сток,35.28276,26.177542,9.105219,0.33499011397361755,True,False,True
45,исходный,1.0602671061981213,0.9301579549400523,1.1398785556442985,0.49625478038586834,2.136537819089015,3,Ġthe,Ġlight,сток,смысл-част,26.277636,34.79617,8.518534,0.3707873523235321,False,False,True
45,чужие хапаксы,1.0939264121762773,0.9368160663723897,1.1677067158041623,0.5634516210691338,1.941473537871064,4,Ġof,Ġlight,сток,смысл-част,26.123625,35.001526,8.877901,0.3689998984336853,False,False,True
45,перемешивание,1.1229415726179206,0.871050717237303,1.289180469513343,0.6108296458172278,1.838387478910817,5,Ġlight,Ġthe,смысл-част,сток,35.042854,26.1267,8.916155,0.3594980537891388,False,False,True
46,исходный,1.014309977450274,0.9362867103358007,1.083332665361116,0.7122452530930928,1.424102123594919,4,Ġin,Ġhealth,сток,смысл-част,26.135448,34.117233,7.981785,0.39158979058265686,False,False,True
46,чужие хапаксы,1.076466247907567,0.9547029019428647,1.1275405633699325,0.6627448703466134,1.6242543640429516,7,Health,-,подслово,сток,34.340843,26.113747,8.227097,0.38756513595581055,True,False,True
46,перемешивание,1.0629801312558456,0.8910596715225239,1.1929393341745194,0.6594817061544458,1.611841725609449,5,",",Ġhealth,сток,смысл-част,26.102383,34.33333,8.230946,0.38475897908210754,False,False,True
47,исходный,0.9828303426780592,0.9370453148474773,1.0488610605112885,0.6801461002857871,1.445028270051227,7,Ġthe,Ġdust,сток,смысл-редк,26.127293,34.357788,8.230495,0.3896293342113495,False,False,True
47,чужие хапаксы,1.0655299402203227,0.973536734895758,1.0944938203430146,0.6714892930629175,1.5868159793881988,6,Ġbull,-,смысл-редк,сток,34.61879,26.151974,8.466816,0.3647453784942627,True,False,True
47,перемешивание,1.1160071726052139,0.9413481202083663,1.1855414045530648,0.7011859999350958,1.5915993369926316,3,Ġmaps,Ġof,смысл-редк,сток,35.317543,26.158659,9.158884,0.33419913053512573,True,False,True
48,исходный,1.069362241505832,0.9781129369816294,1.0932911743359512,0.693281078906669,1.542465637735646,11,Ġrace,-,смысл-редк,сток,34.07772,26.115473,7.962248,0.39091554284095764,True,False,True
48,чужие хапаксы,1.1201304285637372,0.9573161709686413,1.1700736522922783,0.6829968562542384,1.6400228175380946,7,-,Ġrace,сток,смысл-редк,26.403051,34.036274,7.6332226,0.40060776472091675,False,False,True
48,перемешивание,1.161242904647472,1.0117663815253228,1.1477381793381993,0.6932460127492688,1.6750805389305095,7,Ġrace,Ġand,смысл-редк,сток,34.54825,26.109293,8.438955,0.3702569901943207,True,False,True
49,исходный,1.0336838690604215,0.9557676602407724,1.0815221230649517,0.6477348544638973,1.5958441358168967,8,AI,16,подслово,пункт,34.875015,38.501194,3.6261787,0.5384580492973328,True,False,False
49,чужие хапаксы,1.0285151581967549,1.0237880407643163,1.0046172813553376,0.6498032789865276,1.5828100464511186,5,.,Ġsystem,сток,смысл-част,26.056656,33.910755,7.8540993,0.3973596394062042,False,False,True
49,перемешивание,1.0461769665605751,0.9653786142837263,1.0836960246284284,0.638955950256846,1.6373225198701653,4,ĠAI,Ġand,смысл-редк,сток,34.33105,26.18364,8.147411,0.37322357296943665,False,False,True
