токен,класс,k,до ближайшего,сосед свой
.,сток,12,0.14603858653280272,True
Ġthere,служ,2,0.7046687344091929,True
Ġall,служ,1,0.7144021744617993,False
.,пункт,12,0.31921636676884446,True
Ġhow,служ,1,0.8656442287301898,False
Ġclouds,смысл-редк,2,0.4516717684400815,True
Ali,подслово,1,0.7225616296363857,False
Ġyou,служ,3,0.44111704662372075,True
",",пункт,5,0.35463307775023456,True
Ġpeer,смысл-редк,1,0.707900545616039,False
Ġyou,служ,3,0.44111704662372075,True
or,подслово,1,0.6550507888169448,False
onia,подслово,1,0.6771805392196704,False
Ġof,служ,3,0.3752342374526641,True
Ġbeen,служ,1,0.6557680494707395,False
ĠHow,служ,1,0.8122343150421429,False
Ġthose,служ,1,0.6317436638593315,False
Ġto,служ,5,0.4532029370979196,True
Ġwas,служ,8,0.34519299701769846,True
Ġto,служ,5,0.40190596818155055,True
Ġ1998,пункт,1,0.8796692018614222,False
Ġmes,смысл-редк,1,0.8121994769098628,False
Ġlanding,смысл-редк,1,0.6740105716075088,False
ĠNASA,смысл-редк,1,0.6591997178001606,False
Ġit,служ,5,0.4542098791123833,True
ĠI,служ,1,0.7326598394938969,False
ĠViking,смысл-редк,2,0.34874164528348844,True
Ġon,служ,3,0.36887169763570654,True
Ġcan,служ,2,0.7134491724594858,True
Ġland,смысл-част,3,0.36008415072729333,True
Ġapart,смысл-редк,1,0.8141431068439404,False
Ġlive,смысл-част,1,0.7266668753182235,False
"""",пункт,2,0.33677300894935214,True
Ġattention,смысл-редк,1,0.7573968092449859,False
Ġwas,служ,8,0.23401371787684508,True
ĠAmerican,смысл-част,1,0.7064361407218912,False
Ġaliens,смысл-редк,2,0.38966046595744963,True
Ġbut,служ,1,0.8532239487745041,False
Ġthen,служ,2,0.36553668673299466,True
Ġhad,служ,1,0.7408296938684997,False
Ġbelieve,смысл-част,1,0.6687871937067787,False
Ġexist,смысл-редк,1,0.6723496015494943,False
Ġaround,служ,2,0.4064357490177235,True
ian,подслово,2,0.22683023708294645,True
Ġit,служ,5,0.5308262684909212,True
Ġsent,смысл-част,1,0.7152952488797293,False
Ġresearch,смысл-част,1,0.5682204360806721,False
Ġland,смысл-част,3,0.4031395526018648,True
Ġa,служ,7,0.421524058401379,True
Ġthat,служ,5,0.4805952621235384,True
.,пункт,12,0.46965188877597647,True
Ġby,служ,2,0.20457419513300407,True
er,подслово,1,0.6550507888169448,False
Ġsurvey,смысл-редк,1,0.7696300511987495,False
ĠThe,служ,2,0.3377094889528985,True
Ġa,служ,7,0.38911441530122387,True
Ġnot,служ,1,0.7066944087621418,False
Ġare,служ,2,0.581005897339614,True
Ġgo,смысл-част,1,0.6723496015494943,False
Ġthey,служ,3,0.40780004410678594,True
.,пункт,12,0.28331854711011323,True
.,сток,12,0.05188034670805431,False
Ġare,служ,2,0.581005897339614,True
.,сток,12,0.030344848905075536,False
Ġof,служ,3,0.3752342374526641,True
Ġdid,служ,1,0.7859880163781854,False
Ġthey,служ,3,0.40780004410678594,True
Ġthe,служ,2,0.7477702485217522,False
Ġcame,смысл-част,1,0.7152952488797293,False
.,пункт,12,0.24736948427207375,True
Ġsee,смысл-част,1,0.707900545616039,False
Ġcan,служ,2,0.7134491724594858,True
Ġclouds,смысл-редк,2,0.4516717684400815,True
Ġto,служ,5,0.47011708052935147,True
Ġthrough,служ,3,0.35824456531361915,True
ĠEvidence,смысл-редк,1,0.7367862824488738,False
're,подслово,1,0.6482952532976839,False
the,подслово,1,0.7737217413980647,False
ĠViking,смысл-редк,2,0.34874164528348844,True
Ġago,смысл-редк,1,0.8435048422870819,False
Ġwould,служ,2,0.4457100257120556,True
Ġis,служ,2,0.6066532484385211,True
a,подслово,2,0.25612957304559575,True
Ġhigh,смысл-част,1,0.8170623707522569,False
ĠIf,служ,2,0.3365831034261041,True
ĠThey,служ,1,0.7205930292718105,False
Ġthrough,служ,3,0.334589945002224,True
ĠM,служ,2,0.33416466021205854,True
"Ġ""",пункт,1,0.7066413333285887,False
Ġdiss,смысл-редк,1,0.7717425781698087,False
form,подслово,3,0.2399791269198874,True
Ġdo,служ,1,0.7306615497395993,False
Ġonly,служ,2,0.6615700638781074,True
Ġsaid,смысл-част,1,0.7563417655417034,False
Ġunusual,смысл-редк,2,0.3092614023402921,True
Ġaround,служ,2,0.4064357490177235,True
't,подслово,2,0.42495733917735484,True
Ġmore,служ,1,0.71570470824234,False
Ġway,смысл-част,1,0.8138664945025188,False
Ġthat,служ,5,0.37487622028986595,True
Ġand,служ,1,0.7390025807038777,False
Ġformed,смысл-редк,1,0.5414996773129168,False
's,подслово,1,0.6482952532976839,False
Ġit,служ,5,0.3822944299670549,True
Ġfor,служ,1,0.8434369879568254,False
Ġyears,смысл-част,1,0.950020381576931,False
form,подслово,3,0.2520538257746374,True
Ġmaybe,смысл-част,1,0.7326598394938969,False
ĠWest,смысл-част,1,0.7064361407218912,False
"""",пункт,2,0.33677300894935214,True
Ġmars,смысл-редк,1,0.6740105716075088,False
ĠThe,служ,2,0.3377094889528985,True
human,подслово,1,0.7737217413980647,False
Ġwas,служ,8,0.23401371787684508,True
Ġsure,смысл-част,1,0.8065816044726883,False
Ġfigure,смысл-редк,1,0.6687871937067787,False
Ġstill,служ,1,0.689406893666899,False
Ġof,сток,3,0.04034546707899091,False
Ġa,служ,7,0.261573555154923,True
GS,подслово,1,0.7684848741261683,False
Ġthere,служ,2,0.7000117059672981,False
Ġaliens,смысл-редк,2,0.38966046595744963,True
.,сток,12,0.07757905700839986,True
Ġout,служ,1,0.7595898593986842,False
Ġphotos,смысл-редк,1,0.7106688356083436,False
Ġthey,служ,3,0.42876563975012283,True
Ġit,служ,5,0.4525284803010909,True
ian,подслово,2,0.22683023708294645,True
",",пункт,5,0.3324815458422088,True
Ġby,служ,2,0.20457419513300407,True
Ġthen,служ,2,0.36553668673299466,True
ources,подслово,1,0.7178387988608482,False
.,сток,12,0.016042918800840304,False
Ġthe,сток,2,0.016042918800840304,False
Ġthrough,служ,3,0.334589945002224,True
ĠWhere,служ,2,0.4646481027557173,True
",",пункт,5,0.3324815458422088,True
ens,подслово,1,0.7201471702873087,False
Ġresearchers,смысл-редк,1,0.5682204360806721,False
Ġface,смысл-част,1,0.7711881048572449,False
Ġgreat,смысл-част,1,0.7361590773429367,False
Ġor,служ,1,0.6972026729264518,False
Ġthat,служ,5,0.3421285413900504,True
Ġit,служ,5,0.3822944299670549,True
Ġpossible,смысл-част,1,0.7439312568590472,False
Ġa,служ,7,0.261573555154923,True
Ġone,служ,1,0.7702672506747112,False
Ġon,служ,3,0.24139530311453727,True
form,подслово,3,0.2399791269198874,True
Ġa,служ,7,0.4184562540496494,True
Ġthan,служ,1,0.8450635342565361,False
Ġwas,служ,8,0.43740405022294343,True
't,подслово,2,0.42495733917735484,True
Ġwas,служ,8,0.520180543985327,True
te,подслово,1,0.6771805392196704,False
Ġalso,служ,1,0.6801244217280279,False
Ġwas,служ,8,0.3547607311533446,True
ĠIt,служ,1,0.7709345237500032,False
",",пункт,5,0.38847738342194754,True
Ġonly,служ,2,0.6615700638781074,True
Ġwould,служ,2,0.4457100257120556,True
Ġa,служ,7,0.46420105515461985,True
Ġbe,служ,1,0.7505390079013798,False
Ġenough,смысл-част,1,0.731886187424339,False
In,подслово,1,0.7900494150087642,False
Ġyour,служ,1,0.5825200713488785,False
Ġthat,служ,5,0.5127872527433069,True
a,подслово,2,0.25612957304559575,True
.,пункт,12,0.31373694477995556,True
Ġon,служ,3,0.24139530311453727,True
Ġwas,служ,8,0.34519299701769846,True
Ġfrom,служ,2,0.7138605322918015,True
Ġyou,служ,3,0.4631534047348245,True
Ġis,служ,2,0.6066532484385211,True
Ġno,служ,1,0.6557680494707395,False
Ġcreated,смысл-редк,1,0.5414996773129168,False
ĠIf,служ,2,0.3365831034261041,True
ĠTwenty,смысл-редк,1,1.0193310131685485,False
Ġto,служ,5,0.40190596818155055,True
oint,подслово,1,0.7499576226018514,False
Ġunusual,смысл-редк,2,0.3092614023402921,True
Ġthat,служ,5,0.3421285413900504,True
Ġacross,служ,1,0.7336734297742614,False
Ġfrom,служ,2,0.7138605322918015,True
Ġland,смысл-част,3,0.36008415072729333,True
Ġwas,служ,8,0.350968477809721,True
ĠWhere,служ,2,0.4646481027557173,True
ĠM,служ,2,0.33416466021205854,True
ĠBut,служ,1,0.7154345931366995,False
Ġorientation,смысл-редк,1,0.6703693170537254,False
wrong,подслово,1,0.6679961387439141,False
Ġthan,служ,2,0.4510156938375138,True
Ġenvironmental,смысл-редк,1,0.7232546647513864,False
Ġflour,смысл-редк,1,0.7905707234701321,False
ĠThe,служ,2,0.3755350206282452,True
?,пункт,3,0.39600332998299853,True
Ġhom,смысл-редк,1,0.6897014568309625,False
Ġnot,служ,1,0.7051002137230525,False
Ġabnormal,смысл-редк,1,0.691449841970779,False
Ġchoice,смысл-част,1,0.7398521875919424,False
Ġis,служ,3,0.44272352390985337,True
Ġargument,смысл-редк,1,0.7898732413072729,False
side,подслово,1,0.7126027712700467,False
Ġit,служ,6,0.35411728958601474,True
Ġan,служ,2,0.3841732982443905,True
Ġdecide,смысл-редк,1,0.749066776667918,False
",",пункт,5,0.39000906036598665,True
Ġhomosexuality,смысл-редк,2,0.3281629083226609,True
Ġthink,смысл-част,1,0.6721123117574331,False
Ġdowns,смысл-редк,1,0.6820557333729046,False
Ġthan,служ,2,0.4510156938375138,True
't,подслово,3,0.18965354922942215,True
't,подслово,3,0.2171294638348056,True
Ġcase,смысл-част,1,0.8001401693746417,False
n,подслово,1,0.9059067277424929,False
Ġblue,смысл-редк,1,0.6734469885053354,False
Ġnature,смысл-редк,1,0.7576385874622804,False
"Ġ""",пункт,4,0.2879473367476074,True
born,подслово,2,0.33618580142830545,True
Ġas,служ,3,0.3617577619965107,True
:,пункт,1,0.7078110015087309,False
ĠI,служ,6,0.3118362283458755,True
Ġlend,смысл-редк,1,0.7159668336020347,False
born,подслово,2,0.33618580142830545,True
ions,подслово,1,0.6154133152263135,False
Ġor,служ,4,0.4492546246137581,True
Ġstraight,смысл-редк,1,0.5902478681037571,False
't,подслово,3,0.18965354922942215,True
.,пункт,8,0.22813733134305503,True
Ġa,служ,5,0.3454135849006088,True
.,сток,8,0.10199391170326555,False
Ġsomething,смысл-част,1,0.7177863602169918,False
Ġshaping,смысл-редк,1,0.7255086627017855,False
ĠI,служ,6,0.3530321847303379,True
Ġbeing,служ,4,0.486918712722218,True
Ġof,служ,5,0.404227245237339,True
Ġme,служ,3,0.19872101625024155,True
"Ġ""",пункт,4,0.23778618190935688,True
Ġgrew,смысл-редк,1,0.811021173602314,False
.,пункт,8,0.2968698740992707,True
Ġbelonging,смысл-редк,1,0.7562170947299871,False
ĠWhy,служ,1,0.6584961533309321,False
Ġvs,смысл-редк,2,0.36535593555636886,True
ning,подслово,1,0.8343816471342682,False
"Ġ""",пункт,4,0.23778618190935688,True
Ġbeing,служ,4,0.3721006898716108,True
Ġa,служ,5,0.4557678401939565,True
Ġin,служ,2,0.48780209028248456,True
ĠI,служ,6,0.43686885000567555,True
Ġwhy,служ,2,0.7210452737646106,True
'm,подслово,1,0.6155529051438148,False
Ġf,смысл-част,1,0.6597830514288168,False
Ġbiological,смысл-редк,1,0.4926666103247975,False
Ġenjoy,смысл-редк,1,0.3905737472919992,False
ĠTo,служ,3,0.17581064886232362,True
Ġme,служ,3,0.19872101625024155,True
Ġsomehow,смысл-редк,1,0.5889342078439964,False
Ġand,служ,2,0.38143927364741875,True
Ġmorally,смысл-редк,1,0.6774684359169211,False
Ġof,служ,5,0.3620568312410279,True
Ġwas,служ,2,0.578561022026105,True
Ġhuman,смысл-част,1,0.7141423067881133,False
Ġis,служ,3,0.4040026919508084,True
Ġas,служ,3,0.3617577619965107,True
Ġthat,служ,5,0.3925462735321056,True
.,пункт,8,0.8243162841021325,False
ĠI,служ,6,0.4210833952158195,True
Ġcommunity,смысл-редк,1,0.6977085181065744,False
"""",пункт,5,0.3491262647908132,True
Ġlove,смысл-част,1,0.3905737472919992,False
ides,подслово,1,0.6259026290159988,False
Ġmuch,служ,1,0.70234293136749,False
Ġentire,смысл-част,1,0.9456868833427267,False
Ġfor,служ,3,0.45267028294837053,True
.,сток,8,0.03175232782639175,False
Ġqueer,смысл-редк,1,0.5902478681037571,False
's,подслово,4,0.28935074845572606,True
ished,подслово,1,0.6969349489857269,False
Ġa,служ,5,0.5361426559262367,True
ĠI,служ,6,0.4210833952158195,True
Ġmatter,смысл-част,2,0.5011282719201053,True
Ġso,служ,2,0.6659022504573697,True
Ġthey,служ,1,0.6977264367912126,False
Ġthat,служ,5,0.45510067895964174,True
Ġcondem,смысл-редк,1,0.8369584652621334,False
obic,подслово,1,0.7120758424669029,False
Ġargued,смысл-редк,1,0.7756581401328706,False
's,подслово,4,0.28935074845572606,True
Ġhomosexuality,смысл-редк,2,0.3281629083226609,True
Ġso,служ,2,0.6659022504573697,True
ure,подслово,1,0.8570735649982388,False
Ġin,служ,2,0.48780209028248456,True
Ġof,служ,5,0.3620568312410279,True
Ġactually,смысл-част,1,0.7792837972752135,False
Ġthe,служ,1,0.5486240660427182,False
.,пункт,8,0.27167836050262756,True
ĠTo,служ,3,0.21354265225007527,True
Ġa,сток,5,0.03204586562167257,False
Ġbiology,смысл-редк,1,0.4926666103247975,False
Ġitself,смысл-част,1,0.779704551682935,False
Ġbe,служ,1,0.727579904168652,False
greater,подслово,1,0.8018495815968789,False
Ġit,служ,6,0.35411728958601474,True
Ġdid,служ,1,0.7695333308178386,False
Ġthat,служ,5,0.47422622836441675,True
I,подслово,1,0.6115435752647607,False
Ġit,служ,6,0.6510402833938103,True
Ġor,служ,4,0.44298853743847044,True
Ġdoesn,смысл-част,1,0.6956684317459663,False
ization,подслово,1,0.5387093976716685,False
Ġsomewhat,смысл-редк,1,0.5889342078439964,False
Ġnurt,смысл-редк,1,0.8757945784016801,False
ĠTo,служ,3,0.17581064886232362,True
Ġup,служ,1,0.830806386878542,False
Ġdon,смысл-част,2,0.17490915066717025,True
Ġmatter,смысл-част,2,0.5011282719201053,True
Ġneutral,смысл-редк,1,0.6774684359169211,False
Ġbeing,служ,4,0.35184393413812226,True
"""",пункт,5,0.3491262647908132,True
Ġwas,служ,2,0.578561022026105,True
Ġfor,служ,3,0.5679501689290312,True
Ġthat,служ,5,0.3925462735321056,True
Ġvs,смысл-редк,2,0.36535593555636886,True
Ġif,служ,1,0.7942484650707043,False
Ġdon,смысл-част,2,0.17490915066717025,True
Ġfor,служ,3,0.45267028294837053,True
Ġor,служ,4,0.44298853743847044,True
Ġsexual,смысл-редк,1,0.6863350173640625,False
",",пункт,5,0.37632342935376084,True
Ġof,служ,5,0.40731427999026765,True
Ġfrom,служ,2,0.5166478323619723,True
?,пункт,3,0.5070724833366271,True
right,подслово,1,0.6679961387439141,False
Ġelement,смысл-редк,1,0.8003959729512551,False
).,пункт,1,0.5893935267305219,False
Ġwhy,служ,2,0.6584961533309321,False
Ġnatural,смысл-редк,1,0.6879281687709867,False
Ġthat,служ,5,0.45510067895964174,True
Ġnow,служ,1,0.8713961893685802,False
"""",пункт,5,0.23085233601394237,True
.,пункт,8,0.3225345354787151,True
Ġcause,смысл-част,1,0.8001401693746417,False
ized,подслово,1,0.5387093976716685,False
ĠThe,служ,2,0.3755350206282452,True
"Ġ""",пункт,4,0.2662858859556968,True
's,подслово,4,0.4073231454389146,True
Ġas,служ,3,0.36838042930210707,True
.,пункт,8,0.22813733134305503,True
ĠI,служ,6,0.3118362283458755,True
Ġimportant,смысл-част,1,0.764718798491939,False
?,пункт,3,0.39600332998299853,True
Ġme,служ,3,0.3862227956883242,True
",",пункт,5,0.5091783056378489,True
Ġa,служ,5,0.3454135849006088,True
Ġbiologically,смысл-редк,1,0.5295777642607767,False
Ġor,служ,4,0.4555345719418787,True
Ġnegative,смысл-редк,1,0.7079019449320532,False
Ġto,служ,1,0.7321681357098684,False
Ġare,служ,1,0.6382884535759984,False
Ġsocial,смысл-част,1,0.6712213200925469,False
ĠLikewise,смысл-редк,1,0.7651287030273687,False
Ġway,смысл-част,1,0.881043971434911,False
Ġdirection,смысл-редк,1,0.8213285874329553,False
",",пункт,5,0.37632342935376084,True
Ġculture,смысл-редк,1,0.7008163001990745,False
Ġand,служ,2,0.38143927364741875,True
Ġsociety,смысл-редк,1,0.6712213200925469,False
Ġproduct,смысл-редк,1,0.7398521875919424,False
Ġfind,смысл-част,1,0.749066776667918,False
Ġit,служ,6,0.39613017255002214,True
Ġsee,смысл-част,1,0.6778330655231631,False
Ġbelieve,смысл-част,1,0.6721123117574331,False
Ġlived,смысл-редк,1,0.7654437485242152,False
Ġreduction,смысл-редк,1,0.6130170781726952,False
Ġbut,служ,1,0.7154345931366995,False
"""",сток,5,0.03175232782639175,False
",",пункт,5,0.39000906036598665,True
Ġis,служ,3,0.4040026919508084,True
Ġit,служ,6,0.45181458237918676,True
Ġattraction,смысл-редк,1,0.6839993534026142,False
's,подслово,4,0.4073231454389146,True
Ġan,служ,2,0.3841732982443905,True
Ġwrong,смысл-част,1,0.691449841970779,False
Ġof,служ,5,0.3760873644464628,True
Ġbeing,служ,4,0.35184393413812226,True
Ġ-,пункт,1,0.7078110015087309,False
"""",пункт,5,0.23085233601394237,True
Ġit,служ,6,0.39613017255002214,True
Ġfrom,служ,2,0.5166478323619723,True
Ġor,служ,4,0.5093935823181178,True
Ġprovide,смысл-част,1,0.8162795576406683,False
Ġexist,смысл-редк,1,0.7469623564816608,False
?,пункт,2,0.412521376700505,True
.,пункт,8,0.23804891236139628,True
Ġso,служ,3,0.5731470628531999,True
Ġas,служ,3,0.37159752937331547,True
Ġthe,служ,2,0.4347418653193618,True
Ġsexuality,смысл-редк,2,0.490171454889209,True
Ġimportant,смысл-част,1,0.8058766205358201,False
.,пункт,8,0.23804891236139628,True
Ġhuman,смысл-част,1,0.7146783197243398,False
Ġdoesn,смысл-част,2,0.40985861818588465,True
's,подслово,3,0.5277010742532319,True
Ġa,сток,6,0.05425416484901634,False
Ġis,служ,3,0.5879543771893805,True
",",пункт,7,0.36310671677766204,True
Ġthis,служ,1,0.8086309310646392,False
Ġa,служ,6,0.3668512966106017,True
ĠI,служ,8,0.3145595227247801,True
Ġthat,служ,2,0.5040054560628473,True
Ġplausible,смысл-редк,1,0.7692587331330967,False
Ġa,служ,6,0.34843011341349783,True
I,подслово,1,0.3959415066698517,False
Ġnow,служ,1,0.8489968564208665,False
Ġto,служ,2,0.6141142475808173,True
Ġneutral,смысл-редк,1,0.7350114020782185,False
Ġpeople,смысл-част,2,0.5587097095756387,True
Ġhomosexuality,смысл-редк,1,0.4797727732109791,False
"Ġ""",пункт,5,0.22783004514666064,True
Ġso,служ,3,0.5907400420505854,True
Ġdist,смысл-редк,1,0.8434435967166909,False
Ġthere,служ,1,0.734061629697347,False
Ġis,служ,3,0.4075308845084468,True
.,пункт,8,0.26045212244992294,True
",",пункт,7,0.3288967128121512,True
Ġbecame,смысл-част,1,0.7235163028082479,False
Ġit,служ,6,0.45576032056049787,True
Ġelse,смысл-част,1,0.8340166240711112,False
Ġno,служ,1,0.8223632340347821,False
Ġcommunity,смысл-редк,1,0.7038016705781532,False
Ġmean,смысл-част,1,0.732110857333843,False
Ġsexuality,смысл-редк,2,0.490171454889209,True
Ġway,смысл-част,2,0.6705121738364902,True
:,пункт,1,0.6955487105888284,False
Ġthan,служ,1,0.8436548178741627,False
Ġfew,служ,1,0.6910505697262016,False
".""",пункт,1,0.7504610152171302,False
Ġso,служ,3,0.5731470628531999,True
Ġculture,смысл-редк,1,0.7069365932166645,False
.,пункт,8,0.26045212244992294,True
Ġflip,смысл-редк,1,0.875161470420891,False
Ġqueer,смысл-редк,1,0.5836368734802837,False
Ġharm,смысл-редк,1,0.8354908711852297,False
atural,подслово,1,0.7716964005471086,False
Ġbeing,служ,3,0.35491661948059394,True
ization,подслово,1,0.6700403710148005,False
Ġinvestigating,смысл-редк,1,0.7348551829911179,False
ished,подслово,1,0.7501926130403449,False
Ġ100,пункт,1,0.7348551829911179,False
Ġof,служ,4,0.4108713929499419,True
Ġargument,смысл-редк,1,0.749203799744929,False
ĠI,служ,8,0.22037958979526254,True
Ġcould,служ,1,0.7117743437120839,False
Ġmore,служ,2,0.5013165338334314,True
Ġa,служ,6,0.5408248389070911,True
Ġgay,смысл-редк,1,0.4797727732109791,False
Ġthe,служ,2,0.4347418653193618,True
Ġlived,смысл-редк,1,0.7235163028082479,False
Ġa,служ,6,0.3668512966106017,True
"""",пункт,2,0.6904939662245295,False
Ġgrew,смысл-редк,1,0.81462007525292,False
?,пункт,2,0.412521376700505,True
Ġof,служ,4,0.40945790007072114,True
Ġneither,служ,1,0.8954059914755306,False
ĠI,служ,8,0.3786738631403643,True
Ġcall,смысл-част,1,0.7252355290768121,False
Ġit,служ,6,0.4062418147749461,True
Ġenvironment,смысл-редк,1,0.7574716628378462,False
Ġwhether,служ,2,0.6266870864708145,True
Ġthought,смысл-част,1,0.7149802558017636,False
Ġsexual,смысл-редк,1,0.5505654839591263,False
Ġinto,служ,1,0.7337356026374066,False
Ġfrequent,смысл-редк,1,0.7604749675692709,False
ĠI,служ,8,0.22037958979526254,True
Ġway,смысл-част,2,0.6705121738364902,True
Ġblue,смысл-редк,3,0.3174060065780199,True
Ġfor,служ,3,0.5729101298378285,True
Ġvs,смысл-редк,2,0.36854662244633635,True
Ġsee,смысл-част,1,0.7252355290768121,False
.,сток,8,0.10288463388746255,False
Ġor,служ,4,0.4382979508718638,True
Ġfor,служ,3,0.4566234940412238,True
Ġmatter,смысл-част,1,0.8760828859518475,False
ĠI,служ,8,0.3786738631403643,True
Ġsociety,смысл-редк,1,0.6770831574348761,False
Ġsocial,смысл-част,1,0.6770831574348761,False
Ġcan,служ,1,0.7117743437120839,False
ides,подслово,1,0.6700403710148005,False
"Ġ""",пункт,5,0.35847928343694574,True
Ġto,служ,2,0.6141142475808173,True
ĠI,служ,8,0.3561152471741992,True
",",пункт,7,0.3288967128121512,True
Ġhas,служ,1,0.6556936152691487,False
Ġbeing,служ,3,0.35491661948059394,True
't,подслово,2,0.2508995143638788,True
",",пункт,7,0.382300485530382,True
Ġorientation,смысл-редк,1,0.6305204931194272,False
ĠThe,служ,1,0.5534152503227203,False
Ġperson,смысл-част,1,0.6573911065657712,False
Ġproduct,смысл-редк,1,0.7443365315561218,False
Ġconsequence,смысл-редк,1,0.8354908711852297,False
Ġour,служ,1,0.5099076118506057,False
Ġor,служ,4,0.3973931024713621,True
't,подслово,2,0.2508995143638788,True
Ġit,служ,6,0.4062418147749461,True
Ġit,служ,6,0.45576032056049787,True
Ġmyself,служ,1,0.7992328606618361,False
Ġgenetic,смысл-редк,1,0.7308739964352446,False
Ġvariation,смысл-редк,1,0.7443365315561218,False
Ġas,служ,3,0.3658065497341611,True
Ġwhether,служ,2,0.6266870864708145,True
Ġnegative,смысл-редк,1,0.6557046789122885,False
ĠI,служ,8,0.32295968409825854,True
Ġput,смысл-част,1,0.7149802558017636,False
's,подслово,3,0.46412672786462267,True
Ġview,смысл-част,1,0.6557046789122885,False
Ġmen,смысл-част,1,0.6821244899854662,False
Ġblue,смысл-редк,3,0.17618557491199965,True
Ġchoice,смысл-част,1,0.7463133845938976,False
's,подслово,3,0.46412672786462267,True
Ġin,служ,1,0.7691095488968244,False
Ġfor,служ,3,0.4566234940412238,True
",",пункт,7,0.33089765015287625,True
Ġwith,служ,1,0.7942215614748832,False
Ġsomewhat,смысл-редк,1,0.7046794776336939,False
Ġif,служ,2,0.5887937103303457,True
Ġas,служ,3,0.3658065497341611,True
Ġthat,служ,2,0.5040054560628473,True
Ġif,служ,2,0.5887937103303457,True
Ġa,служ,6,0.34843011341349783,True
Ġdo,служ,1,0.7086802183252496,False
Ġbeing,служ,3,0.49117101849301864,True
",",пункт,7,0.3168781989495956,True
Ġpeople,смысл-част,2,0.5587097095756387,True
Ġonly,служ,1,0.7601339659054702,False
Ġlike,смысл-част,1,0.7499913425531148,False
Ġor,служ,4,0.3973931024713621,True
born,подслово,2,0.33912174286190233,True
nature,подслово,1,0.7481288358313691,False
Ġstraight,смысл-редк,1,0.5954025568642448,False
"Ġ""",пункт,5,0.30900395210238174,True
Ġlove,смысл-част,1,0.7469623564816608,False
Ġfrom,служ,1,0.8441673779148375,False
Ġan,служ,1,0.690212157612476,False
ĠI,служ,8,0.32295968409825854,True
born,подслово,2,0.33912174286190233,True
.,пункт,8,0.2629116094102263,True
"Ġ""",пункт,5,0.22783004514666064,True
Ġwere,служ,1,0.8618086006318699,False
side,подслово,1,0.7188259966203709,False
Ġdoesn,смысл-част,2,0.40985861818588465,True
ning,подслово,1,0.8416683785751757,False
Ġmore,служ,2,0.5013165338334314,True
obic,подслово,1,0.7248729215884234,False
Ġme,служ,1,0.6553388202224945,False
Ġit,служ,6,0.5502049053219736,True
greater,подслово,1,0.7604749675692709,False
Ġof,служ,4,0.40945790007072114,True
Ġblue,смысл-редк,3,0.17618557491199965,True
ĠIt,служ,1,0.6664242559355208,False
ĠWhy,служ,1,0.961186010654432,False
ure,подслово,1,0.7984464164287931,False
Ġeng,смысл-редк,1,0.775090442783202,False
",",пункт,7,0.3168781989495956,True
Ġcase,смысл-част,1,0.8071278668501796,False
Ġattraction,смысл-редк,1,0.6921608909040378,False
Ġnatural,смысл-редк,1,0.6642911901659961,False
Ġof,служ,4,0.4110729371777626,True
ĠAnd,служ,1,0.8041188170242178,False
Ġinherently,смысл-редк,1,0.7046794776336939,False
Ġ-,пункт,1,0.7139923798943031,False
Ġit,служ,6,0.47484432238780827,True
Ġexperience,смысл-част,1,0.7490353475544284,False
Ġvs,смысл-редк,2,0.36854662244633635,True
.,пункт,8,0.2985943335992887,True
Ġnature,смысл-редк,1,0.6642911901659961,False
n,подслово,1,0.8563723953749389,False
Ġdid,служ,1,0.7086802183252496,False
ĠOur,служ,1,0.5099076118506057,False
"""",сток,2,0.05425416484901634,False
.,пункт,8,0.27261282623667843,True
Ġvery,служ,1,0.6910505697262016,False
"Ġ""",пункт,5,0.3411068723803651,True
Ġmy,служ,1,0.5719818717700798,False
Ġshaping,смысл-редк,1,0.7428601163171596,False
Ġdoes,служ,1,0.8008999955887481,False
Ġlives,смысл-редк,1,0.725523360226576,False
Ġcause,смысл-част,1,0.8071278668501796,False
ĠTo,служ,1,0.8488801088830751,False
Ġis,служ,3,0.4075308845084468,True
Ġmatter,смысл-част,1,0.8758037512384272,False
Ġam,служ,1,0.7620337810568723,False
"Ġ""",пункт,5,0.33588539065992407,True
ĠTo,служ,2,0.2404448026112648,True
Ġshaping,смысл-редк,1,0.7529407926476954,False
Ġ-,пункт,1,0.7137648899369693,False
",",пункт,7,0.32639246477512096,True
Ġitself,смысл-част,1,0.8149768641608732,False
Ġdoesn,смысл-част,2,0.4097280303502304,True
Ġit,служ,7,0.43088718277790056,True
Ġdowns,смысл-редк,1,0.7399915349234234,False
't,подслово,1,0.814112655406419,False
Ġfrom,служ,2,0.5209937150114616,True
"""",пункт,6,0.3024946497547053,True
Ġto,служ,6,0.5765709955844315,True
Ġin,служ,3,0.4373671818474857,True
?,пункт,2,0.41238994046529087,True
"Ġ""",пункт,5,0.25030208366436874,True
?,пункт,2,0.41238994046529087,True
Ġsocial,смысл-част,1,0.7210325559004575,False
Ġwouldn,смысл-редк,2,0.2804049328332974,True
Ġwas,служ,1,0.7503280046824083,False
",",пункт,7,0.36419761585315524,True
Ġargument,смысл-редк,2,0.6205703677189045,True
Ġnature,смысл-редк,2,0.5102581886830159,True
"Ġ""",пункт,5,0.2397863661306354,True
Ġbeing,служ,3,0.35480353708798545,True
Ġsee,смысл-част,2,0.28440606677634495,True
Ġof,служ,3,0.42009109211459045,True
